time,voltage,current
416761,0.5131641,-0.01999411
416881,0.5134739,-0.01999015
417001,0.5087658,-0.01999333
417121,0.5084175,-0.01999067
417241,0.5090816,-0.01999328
417361,0.5040385,-0.01999136
417481,0.501797,-0.01999547
417601,0.5004362,-0.01999377
417721,0.4986907,-0.01999049
417841,0.4987908,-0.01999243
417961,0.4963722,-0.01999409
418081,0.4961157,-0.01999096
418201,0.4934156,-0.01999136
418321,0.4911771,-0.01999342
418441,0.4910616,-0.01999122
418561,0.4908621,-0.01999172
418681,0.4880049,-0.01999404
418801,0.4892368,-0.01999315
418921,0.4854566,-0.01999359
419041,0.4853336,-0.01999073
419161,0.4838282,-0.01999006
419281,0.4815268,-0.01999234
419401,0.4770663,-0.01999516
419521,0.4770314,-0.01999259
419641,0.4753037,-0.01999377
419761,0.4735397,-0.01999386
419881,0.4725398,-0.01999136
420001,0.4704934,-0.019994
420121,0.46977,-0.01999131
420241,0.4682016,-0.0199923
420361,0.4667548,-0.01999272
420481,0.4649122,-0.01999402
420601,0.4635795,-0.01999038
420721,0.4636537,-0.0199944
420841,0.4615087,-0.01999207
420961,0.4577108,-0.01999326
421081,0.4586046,-0.01999339
421201,0.4566442,-0.01999688
421321,0.4545133,-0.01999096
421441,0.4543888,-0.01999686
421561,0.4517931,-0.01999216
421681,0.4502025,-0.01999505
421801,0.4509111,-0.01999136
421921,0.4467159,-0.01999636
422041,0.4466033,-0.01999252
422161,0.4458636,-0.01999281
422281,0.4402009,-0.01999221
422401,0.4412134,-0.01999502
422521,0.4344063,-0.01999047
422641,0.4352453,-0.01999668
422761,0.4325451,-0.01999549
422881,0.4317321,-0.01999476
423001,0.4300799,-0.0199897
423121,0.4275414,-0.01999465
423241,0.4259626,-0.01999333
423361,0.4233863,-0.01999328
423481,0.4178029,-0.0199927
423601,0.4108343,-0.01999686
423721,0.3942236,-0.01999275
423841,0.7071338,0.01999319
423961,0.7083991,0.0199897
424081,0.7095073,0.01999905
424201,0.708961,0.01999181
424321,0.7114887,0.01999292
424441,0.7117615,0.01999279
424561,0.7142817,0.01999578
424681,0.7152379,0.01999118
424801,0.7172408,0.01999409
424921,0.7169962,0.01999275
425041,0.7181948,0.01999485
425161,0.7186655,0.01999306
425281,0.721483,0.01999409
425401,0.7219834,0.01999047
425521,0.7244799,0.01999565
425641,0.725961,0.01999261
425761,0.7285361,0.01999509
425881,0.7304567,0.01999033
426001,0.7308681,0.01999632
426121,0.7320889,0.01999257
426241,0.7338865,0.01999442
426361,0.7346625,0.01999279
426481,0.7357605,0.019994
426601,0.738509,0.01999552
426721,0.7396016,0.0199952
426841,0.7415319,0.01999605
426961,0.7448453,0.01999498
427081,0.7453627,0.01999511
427201,0.7454212,0.01999565
427321,0.7501423,0.01999523
427441,0.7507679,0.01999449
427561,0.7513298,0.01999315
427681,0.7540118,0.01999657
427801,0.7574956,0.01999422
427921,0.7590701,0.0199961
428041,0.7603792,0.01999391
428161,0.763041,0.0199944
428281,0.7659075,0.01999328
428401,0.7664212,0.01999353
428521,0.7706887,0.01999532
428641,0.7716168,0.01999265
428761,0.7733439,0.01999621
428881,0.7774861,0.01999552
429001,0.7791243,0.01999292
429121,0.7821041,0.01999368
429241,0.7846793,0.01999612
429361,0.7878282,0.01999467
429481,0.7904553,0.01999178
429601,0.7943684,0.01999426
429721,0.795361,0.01999454
429841,0.7967241,0.01999328
429961,0.806471,0.01999409
430081,0.8061346,0.01999283
430201,0.8104191,0.01999753
430321,0.8120788,0.01999458
430441,0.822077,0.019995
430561,0.8234439,0.01999446
430681,0.8292088,0.01999435
430801,0.8312814,0.01999507
430921,0.8497421,0.01999614
431041,0.8639886,0.01999462
