TestTime,Voltage_V,Current_mA
370,0.6498281,20.00
371,0.6499127,20.00
372,0.6495650,20.00
373,0.6494916,20.00
374,0.6493241,20.00
375,0.6502157,20.00
376,0.6486036,20.00
377,0.6496317,20.00
378,0.6506487,20.00
379,0.6493959,20.00
380,0.6491002,20.00
381,0.6504567,20.00
382,0.6506153,20.00
383,0.6505590,20.00
384,0.6491106,20.00
385,0.6504804,20.00
386,0.6498763,20.00
387,0.6484213,20.00
388,0.6486392,20.00
389,0.6501001,20.00
390,0.6499645,20.00
391,0.6500016,20.00
392,0.6500016,20.00
393,0.6489668,20.00
394,0.6497644,20.00
395,0.6504760,20.00
396,0.6507354,20.00
397,0.6500698,20.00
398,0.6490662,20.00
399,0.6505101,20.00
400,0.6499178,20.00
401,0.6495836,20.00
402,0.6491773,20.00
403,0.6490150,20.00
404,0.6492070,20.00
405,0.6489016,20.00
406,0.6498904,20.00
407,0.6498756,20.00
408,0.6495346,20.00
409,0.6500446,20.00
410,0.6493952,20.00
411,0.6503544,20.00
412,0.6488252,20.00
413,0.6505923,20.00
414,0.6508006,20.00
415,0.6497962,20.00
416,0.6505442,20.00
417,0.6494042,20.00
418,0.6491210,20.00
419,0.6496488,20.00
420,0.6494575,20.00
421,0.6499586,20.00
422,0.6502061,20.00
423,0.6518384,20.00
424,0.6505946,20.00
425,0.6498874,20.00
426,0.6514292,20.00
427,0.6503811,20.00
428,0.6498074,20.00
429,0.6488949,20.00
430,0.6482412,20.00
431,0.6490765,20.00
432,0.6500253,20.00
433,0.6499705,20.00
434,0.6493715,20.00
435,0.6493152,20.00
436,0.6505516,20.00
437,0.6503396,20.00
438,0.6500431,20.00
439,0.6505946,20.00
440,0.6504953,20.00
441,0.6501409,20.00
442,0.6509845,20.00
443,0.6502506,20.00
444,0.6507873,20.00
445,0.6522728,20.00
446,0.6521794,20.00
447,0.6518198,20.00
448,0.6517175,20.00
449,0.6519703,20.00
450,0.6515300,20.00
451,0.6508273,20.00
452,0.6512336,20.00
453,0.6501831,20.00
454,0.6509830,20.00
455,0.6505908,20.00
456,0.6507354,20.00
457,0.6512543,20.00
458,0.6512839,20.00
459,0.6527857,20.00
460,0.6523098,20.00
461,0.6520637,20.00
462,0.6517331,20.00
463,0.6532230,20.00
464,0.6514396,20.00
465,0.6511772,20.00
466,0.6504567,20.00
467,0.6508681,20.00
468,0.6518258,20.00
469,0.6512409,20.00
470,0.6510111,20.00
471,0.6502699,20.00
472,0.6509860,20.00
473,0.6505724,20.00
474,0.6508747,20.00
475,0.6495591,20.00
476,0.6513647,20.00
477,0.6504819,20.00
478,0.6501721,20.00
479,0.6503055,20.00
480,0.6496844,20.00
481,0.6504397,20.00
482,0.6507888,20.00
483,0.6512187,20.00
484,0.6509867,20.00
485,0.6515878,20.00
486,0.6519673,20.00
487,0.6516234,20.00
488,0.6500216,20.00
489,0.6511446,20.00
490,0.6509726,20.00
491,0.6509992,20.00
492,0.6510171,20.00
493,0.6504390,20.00
494,0.6507562,20.00
495,0.6504582,20.00
496,0.6495495,20.00
497,0.6504375,20.00
498,0.6507769,20.00
499,0.6519185,20.00
500,0.6523468,20.00
501,0.6528679,20.00
502,0.6523350,20.00
503,0.6520400,20.00
504,0.6512439,20.00
505,0.6518525,20.00
506,0.6509777,20.00
507,0.6519644,20.00
508,0.6520392,20.00
509,0.6515078,20.00
510,0.6520014,20.00
511,0.6524180,20.00
512,0.6510942,20.00
513,0.6516812,20.00
514,0.6521779,20.00
515,0.6511328,20.00
516,0.6510393,20.00
517,0.6507287,20.00
518,0.6519985,20.00
519,0.6509992,20.00
520,0.6514848,20.00
521,0.6507769,20.00
522,0.6504426,20.00
523,0.6508481,20.00
524,0.6524388,20.00
525,0.6519837,20.00
526,0.6512810,20.00
527,0.6512944,20.00
528,0.6506405,20.00
529,0.6506287,20.00
530,0.6511424,20.00
531,0.6513588,20.00
532,0.6517909,20.00
533,0.6531103,20.00
534,0.6528643,20.00
535,0.6524817,20.00
536,0.6518147,20.00
537,0.6512083,20.00
538,0.6507391,20.00
539,0.6513329,20.00
540,0.6517435,20.00
541,0.6506620,20.00
542,0.6516204,20.00
543,0.6514277,20.00
544,0.6500461,20.00
545,0.6514796,20.00
546,0.6513417,20.00
547,0.6521415,20.00
548,0.6522787,20.00
549,0.6539486,20.00
550,0.6535165,20.00
551,0.6524839,20.00
552,0.6519051,20.00
553,0.6515048,20.00
554,0.6513187,20.00
555,0.6520385,20.00
556,0.6508629,20.00
557,0.6502640,20.00
558,0.6522446,20.00
559,0.6519703,20.00
560,0.6520889,20.00
561,0.6511609,20.00
562,0.6517894,20.00
563,0.6514300,20.00
564,0.6516204,20.00
565,0.6519526,20.00
566,0.6524670,20.00
567,0.6515278,20.00
568,0.6505427,20.00
569,0.6504464,20.00
570,0.6509044,20.00
571,0.6515611,20.00
572,0.6524847,20.00
573,0.6537315,20.00
574,0.6517968,20.00
575,0.6520178,20.00
576,0.6518354,20.00
577,0.6532941,20.00
578,0.6528020,20.00
579,0.6528042,20.00
580,0.6527983,20.00
581,0.6530021,20.00
582,0.6517568,20.00
583,0.6513507,20.00
584,0.6528702,20.00
585,0.6530036,20.00
586,0.6524062,20.00
587,0.6531370,20.00
588,0.6535314,20.00
