fitness,diffusion,ano_rate,cat_rate,resistance,conc_ano,conc_cato,offset_chrg,offset_dischrg
79.9921,0.00000000000027053763,0.7537888,0.000035657686,3.553499,852.05304,1166.1056,0.002723649,-0.13092119
80.10046,0.00000000000022875866,0.6466427,0.000038747134,3.3845437,877.16833,1094.3864,0.00632865,-0.13897087
80.24769,0.00000000000022857944,0.6450745,0.00003876696,3.3848143,877.63074,1094.0845,0.006305155,-0.13895556
80.2671,0.00000000000022922154,0.6463099,0.000038732433,3.3868928,877.38525,1094.9989,0.006270524,-0.13884892
80.285324,0.00000000000022590478,0.64395666,0.000038487076,3.3796618,878.73376,1091.7648,0.0065730372,-0.1393054
80.32526,0.0000000000002301801,0.6460168,0.00003859707,3.3854654,877.1928,1094.299,0.005876856,-0.13896859
80.4299,0.00000000000024002098,0.6459276,0.00003826262,3.369261,878.9349,1089.5265,0.007157135,-0.13944364
80.44834,0.0000000000002312361,0.64648825,0.000038544695,3.3837187,878.1515,1093.6614,0.0063952706,-0.13897847
80.45171,0.0000000000002296694,0.6440114,0.000038655013,3.3808155,878.4929,1092.421,0.0063488875,-0.13903515
80.59121,0.00000000000022974697,0.646096,0.00003853541,3.3815672,878.93335,1092.6294,0.0064616227,-0.13903134
80.60727,0.00000000000023132147,0.6456283,0.000038846123,3.3888168,876.47327,1096.1188,0.008545438,-0.13753912
80.60966,0.00000000000022917575,0.6448136,0.000038571798,3.3792932,879.2471,1091.7277,0.006483213,-0.13910583
80.62252,0.00000000000021859783,0.6449108,0.000038618266,3.3896484,877.6084,1093.8817,0.006367765,-0.13724859
80.67029,0.00000000000022305649,0.64737487,0.000038413662,3.3713076,879.1449,1092.4846,0.006305612,-0.13895252
80.783516,0.00000000000022566557,0.6460056,0.000038545742,3.3881392,878.57806,1093.1725,0.0055174325,-0.13903482
80.79129,0.0000000000002322196,0.64465815,0.00003873575,3.3850362,877.28284,1094.5262,0.008714103,-0.13765138
-1,0.0000000000036608893,0.85490066,0.00005538434,4.370331,1193.9346,1148.8289,-0.11871191,0.48598862
-1,0.00000000000016851121,0.7674203,0.000038280177,4.217043,895.3102,1052.6754,0.0037437342,0.204427
-1,0.00000000000030964624,0.71007824,0.000037518355,3.5550456,835.24054,1171.3375,0.0039683455,-0.13221061
-1,0.0000000000019712188,0.72056973,0.000025465926,2.3687706,907.75964,1050.428,0.0072000274,-0.3451212
-1,0.0000000000019479609,0.558722,0.000011052322,3.9979475,872.94116,1197.6917,0.10173556,0.16220377
-1,0.0000000000021794662,0.9822275,0.000052165924,4.9191217,456.34912,1142.6415,0.22735167,-0.19160825
-1,0.0000000000002902013,0.7125847,0.000037906855,3.5512068,834.18665,1170.4285,0.0026204344,-0.13790904
-1,0.00000000000017346163,0.70931274,0.000040491897,4.335917,833.70874,1172.941,0.0013293419,-0.18594202
-1,0.000000000007307522,0.4906444,0.00005219055,4.773148,495.45428,0.8357944,-0.9481702,0.90509236
-1,0.0000000000017541959,0.14311142,0.000008304699,2.0950577,853.5037,791.39685,-0.34315816,-0.9985394
-1,0.0000000000005464549,0.0027950169,0.000099743214,4.6900187,1198.6592,1199.4613,0.04627666,0.58653533
-1,0.0000000000009937322,0.7159055,0.00000537372,4.978033,1069.6228,899.6273,0.53687483,-0.73559004
-1,0.00000000000030363144,0.67468405,0.00002917326,4.085355,820.2244,987.46466,0.3956574,-0.13149846
-1,0.00000000000010090496,0.5949042,0.000009443142,4.3084164,1198.229,1189.4697,0.56565,-0.38484856
-1,0.0000000000002360409,0.6457969,0.00003865575,3.3765652,877.7707,1092.0629,0.0072745467,-0.13909362
-1,0.0000000000009608154,0.3994415,0.000044384167,1.5446002,1021.9156,1.0113661,0.9394248,0.48293632
-1,0.00000000000025424473,0.69614476,0.00003720795,3.4740021,865.3468,1129.6805,0.006758789,-0.13535254
-1,0.0000000000002312583,0.39626324,0.000040602656,4.9967046,1198.2098,733.2458,0.5978383,0.106111296
-1,0.00000000000017677529,0.96931046,0.000009900383,1.6772411,1065.8606,1026.2916,-0.086775616,-0.5693394
-1,0.0000000000003004992,0.71373045,0.000037780686,3.571247,831.7017,1173.4102,0.005592324,-0.13387077
-1,0.0000000000029058641,0.8312711,0.00003396809,2.1014762,1199.4915,1198,-0.78974843,-0.998736
-1,0.00000000000010020372,0.19320376,0.000048369224,3.0144546,1199.5887,806.1083,0.3804171,-0.6859086
-1,0.00000000000028626157,0.6597185,0.000039016726,3.4758942,846.562,1136.7449,0.0040439344,-0.13590989
-1,0.00000000000016309297,0.62947077,0.000038176666,3.2914824,829.05725,1049.4329,0.0997115,-0.14130343
-1,0.000000000000100081097,0.97170615,0.00008166708,2.0623946,1199.8524,1030.5348,-0.5207643,-0.9990891
-1,0.00000000000031677888,0.70915383,0.000037641654,3.5628333,835.4175,1174.4998,0.0063413368,-0.13390245
-1,0.00000000000016532683,0.67577255,0.000027152973,3.3294702,759.8452,1076.5438,-0.41290343,-0.13704175
-1,0.000000000002924504,0.39467007,0.00009997368,0.37923667,1023.5469,868.99255,0.440102,0.99977916
-1,0.00000000000025827913,0.65392816,0.00003866272,3.4150045,864.49414,1112.6381,0.005422337,-0.13824676
-1,0.00000000000031710276,0.70681065,0.00003798404,3.5806117,831.955,1175.0779,0.0050663045,-0.127167
-1,0.0000000000016749086,0.88932437,0.000036943013,3.3546405,967.22186,1185.1561,-0.25132328,0.052735317
-1,0.00000000000023621136,0.64631486,0.000038457394,3.3697214,879.76776,1091.7471,0.0064381994,-0.1373031
-1,0.00000000000018496478,0.6089298,0.000055761,4.1786456,897.616,891.18274,0.006822114,-0.20250976
-1,0.0000000000069578566,0.99979633,0.00000012218673,0.5140221,1161.846,918.4893,-0.62655604,-0.99950594
-1,0.0000000000003149498,0.7101274,0.000037541686,3.5592513,833.5915,1173.285,0.0064686146,-0.13376254
-1,0.000000000000100308874,0.0014193835,0.00006364924,1.4063575,2.2076087,215.00517,-0.20660864,0.25725308
-1,0.00000000000036839008,0.51413757,0.000059118855,3.1940525,759.90735,871.5109,0.0016862956,-0.3418776
-1,0.000000000007912089,0.42859152,0.00003114168,3.4308043,1199.8433,521.7745,0.9995511,-0.40653843
-1,0.000000000000103045393,0.9232353,0.000010384261,2.7615445,612.9582,1199.3729,-0.15379146,0.1758474
-1,0.00000000000018399442,0.67909425,0.000029023055,2.6753883,1036.3245,1183.3931,0.32030737,-0.006696875
-1,0.0000000000029877435,0.7514247,0.000009075093,4.708362,781.14526,1101.4299,0.35615346,-0.4442879
-1,0.0000000000004664783,0.43312278,0.000055153523,3.327359,701.6199,934.76685,-0.39158282,-0.33631507
-1,0.00000000000031977437,0.7811968,0.00002231162,2.452903,780.89734,1174.5033,-0.42293766,-0.09340892
-1,0.000000000008172088,0.807251,0.00000011164435,3.4839215,1190.859,495.0469,-0.26350045,-0.6082629
-1,0.0000000000020553234,0.001418252,0.000059470083,2.1736076,175.11028,2.0506961,-0.100539975,-0.37531155
